id,type,user_id,review_id
1,False,49,60
2,False,10,16
3,False,2,87
4,True,35,69
5,True,25,95
6,True,10,77
7,True,15,42
8,False,4,52
9,False,47,18
10,False,4,64
11,False,4,36
12,True,11,52
13,False,41,64
14,False,12,55
15,False,28,16
16,True,41,85
17,True,33,63
18,False,24,73
19,False,39,81
20,False,41,50
21,True,40,31
22,False,8,86
23,True,17,94
24,False,16,28
25,False,11,81
26,True,6,24
27,False,6,71
28,False,34,41
29,True,26,3
30,False,20,98
31,False,44,88
32,True,14,28
33,False,20,93
34,True,14,24
35,True,21,38
36,True,26,29
37,False,49,18
38,True,38,72
39,False,48,11
40,True,23,68
41,False,15,20
42,True,4,52
43,True,23,35
44,True,39,91
45,True,7,2
46,True,30,78
47,True,13,81
48,True,28,8
49,False,27,53
50,True,11,88
51,False,49,29
52,True,32,62
53,False,38,92
54,True,8,75
55,False,48,98
56,True,3,74
57,False,32,100
58,False,39,46
59,True,45,84
60,False,3,94
61,False,13,81
62,True,1,54
63,False,5,27
64,False,24,91
65,False,48,87
66,False,50,87
67,True,8,4
68,True,12,14
69,False,43,14
70,False,41,14
71,True,14,87
72,True,12,62
73,False,45,94
74,True,46,15
75,True,6,43
76,True,14,49
77,False,43,6
78,True,22,94
79,False,37,16
80,True,14,51
81,True,6,9
82,True,40,11
83,False,11,21
84,False,39,74
85,True,32,67
86,True,19,17
87,True,50,17
88,False,2,69
89,False,43,31
90,False,18,30
91,False,32,2
92,True,15,13
93,False,36,26
94,True,29,26
95,True,39,69
96,True,15,38
97,True,39,55
98,False,13,13
99,False,1,17
100,True,22,59
101,True,37,81
102,False,14,62
103,True,10,81
104,False,35,21
105,False,39,32
106,False,40,14
107,False,23,84
108,True,31,50
109,False,42,83
110,True,2,49
111,False,43,4
112,False,14,10
113,True,33,23
114,False,35,71
115,True,21,49
116,True,26,24
117,True,11,58
118,False,22,3
119,True,31,81
120,True,10,100
121,False,40,81
122,True,14,98
123,True,39,52
124,False,11,58
125,False,46,28
126,False,3,6
127,True,50,77
128,True,22,25
129,True,9,57
130,True,35,14
131,False,3,94
132,True,26,68
133,True,2,52
134,True,31,100
135,True,40,99
136,False,18,77
137,False,15,49
138,True,16,31
139,True,22,10
140,False,25,88
141,False,36,20
142,True,42,65
143,False,5,63
144,True,1,59
145,False,34,75
146,False,23,69
147,True,10,63
148,False,7,48
149,False,17,71
150,True,42,1
151,True,33,4
152,False,16,85
153,True,34,22
154,False,40,28
155,False,40,78
156,True,24,64
157,False,30,55
158,True,30,63
159,True,16,51
160,True,22,77
161,True,13,46
162,False,15,43
163,False,14,13
164,True,5,78
165,False,21,60
166,True,46,89
167,True,22,36
168,False,13,20
169,False,7,8
170,True,16,27
171,False,12,97
172,False,32,91
173,False,30,33
174,False,2,59
175,False,3,83
176,False,3,52
177,True,42,68
178,False,18,90
179,True,7,94
180,True,47,7
181,True,13,10
182,False,34,40
183,False,46,21
184,True,24,16
185,False,17,65
186,True,45,81
187,False,41,50
188,False,49,16
189,True,41,1
190,False,16,39
191,False,20,23
192,False,10,94
193,False,40,65
194,False,10,99
195,True,43,34
196,True,38,38
197,False,27,61
198,True,19,99
199,True,33,29
200,True,38,80
201,False,43,57
202,True,6,35
203,False,2,74
204,False,46,38
205,True,35,86
206,False,42,70
207,False,37,10
208,False,1,96
209,False,5,85
210,False,37,24
211,True,24,98
212,True,18,20
213,True,17,48
214,True,7,73
215,True,15,86
216,False,20,78
217,True,5,42
218,False,35,40
219,False,36,79
220,False,29,42
221,False,30,78
222,False,6,34
223,True,15,12
224,False,10,6
225,True,2,30
226,False,25,7
227,True,27,60
228,True,42,11
229,True,44,68
230,True,7,33
231,False,41,54
232,True,10,56
233,True,19,60
234,True,22,17
235,False,33,80
236,True,37,3
237,True,45,84
238,True,13,57
239,True,10,43
240,True,8,7
241,True,2,73
242,True,33,8
243,False,43,72
244,False,32,30
245,True,27,76
246,True,25,71
247,True,37,70
248,True,6,85
249,False,45,86
250,False,48,24
251,False,20,100
252,True,49,62
253,False,15,65
254,True,24,26
255,False,40,55
256,True,50,42
257,False,18,27
258,False,19,55
259,False,44,11
260,False,41,8
261,True,18,90
262,True,47,11
263,True,34,70
264,False,30,98
265,True,3,30
266,False,26,31
267,False,20,98
268,True,21,54
269,False,45,29
270,True,15,80
271,True,7,60
272,True,6,49
273,False,48,18
274,False,37,85
275,False,23,96
276,True,48,36
277,True,15,55
278,True,37,92
279,False,1,85
280,True,3,53
281,False,43,37
282,True,40,56
283,False,6,73
284,False,43,40
285,False,41,93
286,False,42,38
287,True,14,86
288,True,3,80
289,False,8,86
290,False,33,26
291,False,48,19
292,True,40,86
293,False,20,63
294,True,36,2
295,False,34,8
296,False,32,74
297,True,44,42
298,True,4,3
299,False,47,64
300,True,49,39
301,True,32,6
302,False,31,3
303,True,6,54
304,False,12,90
305,False,28,100
306,False,29,17
307,True,21,70
308,False,40,1
309,False,48,50
310,True,27,38
311,False,48,17
312,True,11,94
313,True,35,66
314,True,12,76
315,True,4,72
316,True,29,81
317,True,17,94
318,True,33,43
319,True,34,23
320,True,20,72
321,False,3,34
322,False,25,69
323,False,15,10
324,False,11,88
325,True,19,72
326,True,47,51
327,False,17,100
328,False,36,77
329,False,21,38
330,False,3,48
331,True,19,81
332,True,31,64
333,False,45,29
334,True,16,34
335,False,18,2
336,False,27,1
337,False,8,56
338,False,31,65
339,False,37,25
340,True,8,45
341,False,31,71
342,False,24,5
343,False,26,97
344,True,21,85
345,True,49,64
346,False,17,13
347,False,21,47
348,True,9,71
349,True,42,80
350,True,48,81
351,True,4,57
352,True,30,100
353,False,48,24
354,False,11,43
355,False,9,49
356,False,37,79
357,False,19,61
358,True,29,6
359,False,19,75
360,False,43,22
361,False,19,12
362,True,21,86
363,True,5,90
364,False,45,27
365,True,22,63
366,False,36,24
367,True,20,76
368,True,11,63
369,True,28,59
370,False,50,7
371,False,44,75
372,False,6,60
373,False,14,37
374,False,40,25
375,False,15,98
376,True,7,68
377,True,25,89
378,False,26,77
379,True,41,24
380,False,1,8
381,False,5,34
382,True,48,6
